Plot Title: Utsjoki 2020-2021;;;;;;;
#;Date Time, GMT+03:00;Temp, °C (LGR S/N: 10754832, SEN S/N: 10754832);Coupler Detached (LGR S/N: 10754832);Coupler Attached (LGR S/N: 10754832);Host Connected (LGR S/N: 10754832);Stopped (LGR S/N: 10754832);End Of File (LGR S/N: 10754832)
216;09.23.20 klo 01.00.00 ip.;8.891;;;;;
217;09.23.20 klo 02.00.00 ip.;8.941;;;;;
218;09.23.20 klo 03.00.00 ip.;8.990;;;;;
219;09.23.20 klo 04.00.00 ip.;8.990;;;;;
220;09.23.20 klo 05.00.00 ip.;8.990;;;;;
221;09.23.20 klo 06.00.00 ip.;8.990;;;;;
222;09.23.20 klo 07.00.00 ip.;8.965;;;;;
223;09.23.20 klo 08.00.00 ip.;8.941;;;;;
224;09.23.20 klo 09.00.00 ip.;8.916;;;;;
225;09.23.20 klo 10.00.00 ip.;8.916;;;;;
226;09.23.20 klo 11.00.00 ip.;8.916;;;;;
227;09.24.20 klo 12.00.00 ap.;8.941;;;;;
228;09.24.20 klo 01.00.00 ap.;8.941;;;;;
229;09.24.20 klo 02.00.00 ap.;8.965;;;;;
230;09.24.20 klo 03.00.00 ap.;8.916;;;;;
231;09.24.20 klo 04.00.00 ap.;8.841;;;;;
232;09.24.20 klo 05.00.00 ap.;8.742;;;;;
233;09.24.20 klo 06.00.00 ap.;8.643;;;;;
234;09.24.20 klo 07.00.00 ap.;8.593;;;;;
235;09.24.20 klo 08.00.00 ap.;8.543;;;;;
236;09.24.20 klo 09.00.00 ap.;8.519;;;;;
237;09.24.20 klo 10.00.00 ap.;8.519;;;;;
238;09.24.20 klo 11.00.00 ap.;8.568;;;;;
239;09.24.20 klo 12.00.00 ip.;8.767;;;;;
240;09.24.20 klo 01.00.00 ip.;8.891;;;;;
241;09.24.20 klo 02.00.00 ip.;9.015;;;;;
242;09.24.20 klo 03.00.00 ip.;9.089;;;;;
243;09.24.20 klo 04.00.00 ip.;9.089;;;;;
244;09.24.20 klo 05.00.00 ip.;9.064;;;;;
245;09.24.20 klo 06.00.00 ip.;8.990;;;;;
246;09.24.20 klo 07.00.00 ip.;8.916;;;;;
247;09.24.20 klo 08.00.00 ip.;8.817;;;;;
248;09.24.20 klo 09.00.00 ip.;8.742;;;;;
249;09.24.20 klo 10.00.00 ip.;8.668;;;;;
250;09.24.20 klo 11.00.00 ip.;8.643;;;;;
251;09.25.20 klo 12.00.00 ap.;8.643;;;;;
252;09.25.20 klo 01.00.00 ap.;8.643;;;;;
253;09.25.20 klo 02.00.00 ap.;8.643;;;;;
254;09.25.20 klo 03.00.00 ap.;8.618;;;;;
255;09.25.20 klo 04.00.00 ap.;8.593;;;;;
256;09.25.20 klo 05.00.00 ap.;8.543;;;;;
257;09.25.20 klo 06.00.00 ap.;8.543;;;;;
258;09.25.20 klo 07.00.00 ap.;8.519;;;;;
259;09.25.20 klo 08.00.00 ap.;8.519;;;;;
260;09.25.20 klo 09.00.00 ap.;8.494;;;;;
261;09.25.20 klo 10.00.00 ap.;8.519;;;;;
262;09.25.20 klo 11.00.00 ap.;8.543;;;;;
263;09.25.20 klo 12.00.00 ip.;8.568;;;;;
264;09.25.20 klo 01.00.00 ip.;8.593;;;;;
265;09.25.20 klo 02.00.00 ip.;8.643;;;;;
266;09.25.20 klo 03.00.00 ip.;8.668;;;;;
267;09.25.20 klo 04.00.00 ip.;8.717;;;;;
268;09.25.20 klo 05.00.00 ip.;8.742;;;;;
269;09.25.20 klo 06.00.00 ip.;8.742;;;;;
270;09.25.20 klo 07.00.00 ip.;8.742;;;;;
271;09.25.20 klo 08.00.00 ip.;8.742;;;;;
272;09.25.20 klo 09.00.00 ip.;8.717;;;;;
273;09.25.20 klo 10.00.00 ip.;8.643;;;;;
274;09.25.20 klo 11.00.00 ip.;8.593;;;;;
275;09.26.20 klo 12.00.00 ap.;8.568;;;;;
276;09.26.20 klo 01.00.00 ap.;8.494;;;;;
277;09.26.20 klo 02.00.00 ap.;8.543;;;;;
278;09.26.20 klo 03.00.00 ap.;8.543;;;;;
279;09.26.20 klo 04.00.00 ap.;8.494;;;;;
280;09.26.20 klo 05.00.00 ap.;8.444;;;;;
281;09.26.20 klo 06.00.00 ap.;8.419;;;;;
282;09.26.20 klo 07.00.00 ap.;8.344;;;;;
283;09.26.20 klo 08.00.00 ap.;8.319;;;;;
284;09.26.20 klo 09.00.00 ap.;8.319;;;;;
285;09.26.20 klo 10.00.00 ap.;8.369;;;;;
286;09.26.20 klo 11.00.00 ap.;8.394;;;;;
287;09.26.20 klo 12.00.00 ip.;8.469;;;;;
288;09.26.20 klo 01.00.00 ip.;8.519;;;;;
289;09.26.20 klo 02.00.00 ip.;8.568;;;;;
290;09.26.20 klo 03.00.00 ip.;8.568;;;;;
291;09.26.20 klo 04.00.00 ip.;8.593;;;;;
292;09.26.20 klo 05.00.00 ip.;8.593;;;;;
293;09.26.20 klo 06.00.00 ip.;8.568;;;;;
294;09.26.20 klo 07.00.00 ip.;8.494;;;;;
295;09.26.20 klo 08.00.00 ip.;8.394;;;;;
296;09.26.20 klo 09.00.00 ip.;8.319;;;;;
297;09.26.20 klo 10.00.00 ip.;8.245;;;;;
298;09.26.20 klo 11.00.00 ip.;8.195;;;;;
299;09.27.20 klo 12.00.00 ap.;8.145;;;;;
300;09.27.20 klo 01.00.00 ap.;8.095;;;;;
301;09.27.20 klo 02.00.00 ap.;8.070;;;;;
302;09.27.20 klo 03.00.00 ap.;8.070;;;;;
303;09.27.20 klo 04.00.00 ap.;8.020;;;;;
304;09.27.20 klo 05.00.00 ap.;7.945;;;;;
305;09.27.20 klo 06.00.00 ap.;7.895;;;;;
306;09.27.20 klo 07.00.00 ap.;7.845;;;;;
307;09.27.20 klo 08.00.00 ap.;7.845;;;;;
308;09.27.20 klo 09.00.00 ap.;7.820;;;;;
309;09.27.20 klo 10.00.00 ap.;7.820;;;;;
310;09.27.20 klo 11.00.00 ap.;7.845;;;;;
311;09.27.20 klo 12.00.00 ip.;8.020;;;;;
312;09.27.20 klo 01.00.00 ip.;8.170;;;;;
313;09.27.20 klo 02.00.00 ip.;8.295;;;;;
314;09.27.20 klo 03.00.00 ip.;8.369;;;;;
315;09.27.20 klo 04.00.00 ip.;8.369;;;;;
316;09.27.20 klo 05.00.00 ip.;8.319;;;;;
317;09.27.20 klo 06.00.00 ip.;8.245;;;;;
318;09.27.20 klo 07.00.00 ip.;8.145;;;;;
319;09.27.20 klo 08.00.00 ip.;8.070;;;;;
320;09.27.20 klo 09.00.00 ip.;8.020;;;;;
321;09.27.20 klo 10.00.00 ip.;7.970;;;;;
322;09.27.20 klo 11.00.00 ip.;7.920;;;;;
323;09.28.20 klo 12.00.00 ap.;7.870;;;;;
324;09.28.20 klo 01.00.00 ap.;7.895;;;;;
325;09.28.20 klo 02.00.00 ap.;7.945;;;;;
326;09.28.20 klo 03.00.00 ap.;7.945;;;;;
327;09.28.20 klo 04.00.00 ap.;7.970;;;;;
328;09.28.20 klo 05.00.00 ap.;7.995;;;;;
329;09.28.20 klo 06.00.00 ap.;8.020;;;;;
330;09.28.20 klo 07.00.00 ap.;8.020;;;;;
331;09.28.20 klo 08.00.00 ap.;8.045;;;;;
332;09.28.20 klo 09.00.00 ap.;8.070;;;;;
333;09.28.20 klo 10.00.00 ap.;8.120;;;;;
334;09.28.20 klo 11.00.00 ap.;8.145;;;;;
335;09.28.20 klo 12.00.00 ip.;8.195;;;;;
336;09.28.20 klo 01.00.00 ip.;8.270;;;;;
337;09.28.20 klo 02.00.00 ip.;8.344;;;;;
338;09.28.20 klo 03.00.00 ip.;8.394;;;;;
339;09.28.20 klo 04.00.00 ip.;8.444;;;;;
340;09.28.20 klo 05.00.00 ip.;8.419;;;;;
341;09.28.20 klo 06.00.00 ip.;8.419;;;;;
342;09.28.20 klo 07.00.00 ip.;8.419;;;;;
343;09.28.20 klo 08.00.00 ip.;8.419;;;;;
344;09.28.20 klo 09.00.00 ip.;8.444;;;;;
345;09.28.20 klo 10.00.00 ip.;8.444;;;;;
346;09.28.20 klo 11.00.00 ip.;8.444;;;;;
347;09.29.20 klo 12.00.00 ap.;8.444;;;;;
348;09.29.20 klo 01.00.00 ap.;8.444;;;;;
349;09.29.20 klo 02.00.00 ap.;8.444;;;;;
350;09.29.20 klo 03.00.00 ap.;8.444;;;;;
351;09.29.20 klo 04.00.00 ap.;8.444;;;;;
352;09.29.20 klo 05.00.00 ap.;8.469;;;;;
353;09.29.20 klo 06.00.00 ap.;8.469;;;;;
354;09.29.20 klo 07.00.00 ap.;8.469;;;;;
355;09.29.20 klo 08.00.00 ap.;8.469;;;;;
356;09.29.20 klo 09.00.00 ap.;8.494;;;;;
357;09.29.20 klo 10.00.00 ap.;8.519;;;;;
358;09.29.20 klo 11.00.00 ap.;8.543;;;;;
359;09.29.20 klo 12.00.00 ip.;8.593;;;;;
360;09.29.20 klo 01.00.00 ip.;8.668;;;;;
361;09.29.20 klo 02.00.00 ip.;8.742;;;;;
362;09.29.20 klo 03.00.00 ip.;8.792;;;;;
363;09.29.20 klo 04.00.00 ip.;8.841;;;;;
364;09.29.20 klo 05.00.00 ip.;8.792;;;;;
365;09.29.20 klo 06.00.00 ip.;8.742;;;;;
366;09.29.20 klo 07.00.00 ip.;8.717;;;;;
367;09.29.20 klo 08.00.00 ip.;8.717;;;;;
368;09.29.20 klo 09.00.00 ip.;8.668;;;;;
369;09.29.20 klo 10.00.00 ip.;8.593;;;;;
370;09.29.20 klo 11.00.00 ip.;8.543;;;;;
371;09.30.20 klo 12.00.00 ap.;8.494;;;;;
372;09.30.20 klo 01.00.00 ap.;8.444;;;;;
373;09.30.20 klo 02.00.00 ap.;8.369;;;;;
374;09.30.20 klo 03.00.00 ap.;8.344;;;;;
375;09.30.20 klo 04.00.00 ap.;8.295;;;;;
376;09.30.20 klo 05.00.00 ap.;8.295;;;;;
377;09.30.20 klo 06.00.00 ap.;8.295;;;;;
378;09.30.20 klo 07.00.00 ap.;8.270;;;;;
379;09.30.20 klo 08.00.00 ap.;8.270;;;;;
380;09.30.20 klo 09.00.00 ap.;8.270;;;;;
381;09.30.20 klo 10.00.00 ap.;8.295;;;;;
382;09.30.20 klo 11.00.00 ap.;8.319;;;;;
383;09.30.20 klo 12.00.00 ip.;8.344;;;;;
384;09.30.20 klo 01.00.00 ip.;8.394;;;;;
385;09.30.20 klo 02.00.00 ip.;8.444;;;;;
386;09.30.20 klo 03.00.00 ip.;8.469;;;;;
387;09.30.20 klo 04.00.00 ip.;8.494;;;;;
388;09.30.20 klo 05.00.00 ip.;8.519;;;;;
389;09.30.20 klo 06.00.00 ip.;8.519;;;;;
390;09.30.20 klo 07.00.00 ip.;8.519;;;;;
391;09.30.20 klo 08.00.00 ip.;8.494;;;;;
392;09.30.20 klo 09.00.00 ip.;8.469;;;;;
393;09.30.20 klo 10.00.00 ip.;8.469;;;;;
394;09.30.20 klo 11.00.00 ip.;8.469;;;;;
395;10.01.20 klo 12.00.00 ap.;8.469;;;;;
396;10.01.20 klo 01.00.00 ap.;8.494;;;;;
397;10.01.20 klo 02.00.00 ap.;8.494;;;;;
